Reference	Qty	Value	DNP	Exclude from BOM	Exclude from Board	Footprint	Datasheet
BT1,BT2	2	Battery_Cell				Battery:BatteryHolder_Keystone_1042_1x18650	~
C1,C3,C13,C14	4	470u				Capacitor_SMD:CP_Elec_8x10	~
C2,C5,C6,C7	4	220u				Capacitor_SMD:CP_Elec_8x10	~
C4,C12	2	100n				Capacitor_SMD:C_0805_2012Metric	~
C8	1	1000u				Capacitor_SMD:CP_Elec_8x10	~
C9,C15	2	0.1u				Capacitor_SMD:C_0805_2012Metric	~
C10,C11	2	22p				Capacitor_SMD:C_0805_2012Metric	~
D1,D2	2	D_Schottky				Diode_SMD:D_SMA	~
FB1	1	FerriteBead				Resistor_SMD:R_0805_2012Metric	~
J1	1	Conn_02x03_Odd_Even				Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical	~
J2,J3,J9,J10	4	Conn_01x02				Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal	~
J6	1	Conn_01x03				Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	~
J7,J8	2	Conn_01x04				Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical	~
L1,L2	2	33u				Inductor_SMD:L_10.4x10.4_H4.8	~
Q1	1	Q_PMOS_GDS				Package_TO_SOT_SMD:SOT-23	~
R1	1	100k				Resistor_SMD:R_0805_2012Metric	~
R2	1	3.3k				Resistor_SMD:R_0805_2012Metric	~
R3	1	1k				Resistor_SMD:R_0805_2012Metric	~
R5,R6	2	10k				Resistor_SMD:R_0805_2012Metric	~
R7,R8	2	4.7k				Resistor_SMD:R_0805_2012Metric	~
U1	1	LM2596S-5				Package_TO_SOT_SMD:TO-263-5_TabPin3	http://www.ti.com/lit/ds/symlink/lm2596.pdf
U2	1	LM2596S-ADJ				Package_TO_SOT_SMD:TO-263-5_TabPin3	http://www.ti.com/lit/ds/symlink/lm2596.pdf
U3	1	ATmega328-A				Package_QFP:TQFP-32_7x7mm_P0.8mm	http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf
U4,U5	2	TB6612FNG				Package_SO:SSOP-24_5.3x8.2mm_P0.65mm	https://toshiba.semicon-storage.com/us/product/linear/motordriver/detail.TB6612FNG.html
Y1	1	Crystal				Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm	~
